date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,return
2015-12-10 00:00:00+00:00,61.87,62.14,61.01,61.13,6623896,50.2475564978,50.4668362821,49.5491097774,49.6465674594,6623896,0.0,1.0,0.0112781954891454
2015-12-11 00:00:00+00:00,59.82,61.19,59.6,60.86,11489255,48.5826544318,49.6952963003,48.403982015,49.4272876751,11489255,0.0,1.0,-0.0331339906264475
2015-12-14 00:00:00+00:00,59.92,60.14,58.61,60.04,13453719,48.6638691668,48.8425415836,47.5999561393,48.7613268487,13453719,0.0,1.0,0.0016716817133572
2015-12-15 00:00:00+00:00,59.98,60.68,59.97,60.55,7842073,48.7125980077,49.2811011522,48.7044765342,49.1755219968,7842073,0.0,1.0,0.0010013351123598
2015-12-16 00:00:00+00:00,60.35,60.5,59.51,60.32,9281835,49.0130925269,49.1349146293,48.3308887536,48.9887281065,9281835,0.0,1.0,0.0061687229072138
2015-12-17 00:00:00+00:00,59.515,60.83,59.47,60.66,9079430,48.3349494903,49.4029232546,48.2984028596,49.2648582052,9079430,0.0,1.0,-0.0138359569175893
2015-12-18 00:00:00+00:00,58.62,59.5,58.27,59.2,18099462,47.6080776127,48.3227672801,47.3238260405,48.0791230753,18099462,0.0,1.0,-0.0150382256579344
2015-12-21 00:00:00+00:00,59.54,59.615,58.66,58.89,7187470,48.3552531741,48.4161642252,47.6405635067,47.827357397,7187470,0.0,1.0,0.0156943022879101
2015-12-22 00:00:00+00:00,59.99,60.07,59.275,59.94,6501424,48.7207194812,48.7856912692,48.1400341265,48.6801121138,6501424,0.0,1.0,0.0075579442379127
2015-12-23 00:00:00+00:00,60.34,60.37,59.96,60.26,4510229,49.0049710534,49.0293354739,48.6963550607,48.9399992655,4510229,0.0,1.0,0.0058343057168868
2015-12-24 00:00:00+00:00,60.32,60.51,60.17,60.37,2215418,48.9887281065,49.1430361028,48.8669060041,49.0293354739,2215418,0.0,1.0,-0.0003314550861034
2015-12-28 00:00:00+00:00,60.19,60.33,59.58,60.02,4437236,48.8831489511,48.99684958,48.387739068,48.7450839017,4437236,0.0,1.0,-0.0021551724137535
2015-12-29 00:00:00+00:00,61.13,61.32,60.35,60.46,5477335,49.6465674594,49.8008754557,49.0130925269,49.1024287354,5477335,0.0,1.0,0.0156172121616733
2015-12-30 00:00:00+00:00,60.82,61.4,60.75,61.22,3973912,49.3948017811,49.8658472436,49.3379514666,49.7196607208,3973912,0.0,1.0,-0.0050711598240078
2015-12-31 00:00:00+00:00,60.03,60.81,60.02,60.65,4960875,48.7532053752,49.3866803076,48.7450839017,49.2567367317,4960875,0.0,1.0,-0.0129891483064013
2016-01-04 00:00:00+00:00,58.26,58.83,57.6,58.77,13521544,47.315704567,47.7786285561,46.7796873165,47.7298997151,13521544,0.0,1.0,-0.0294852573720462
2016-01-05 00:00:00+00:00,58.65,58.79,57.98,58.79,9617778,47.6324420332,47.7461426621,47.0883033092,47.7461426621,9617778,0.0,1.0,0.0066941297630154
2016-01-06 00:00:00+00:00,58.13,58.53,57.64,57.7,8266322,47.2101254116,47.5349843513,46.8121732105,46.8609020514,8266322,0.0,1.0,-0.0088661551575633
2016-01-07 00:00:00+00:00,56.69,57.91,56.16,56.88,11140877,46.0406332287,47.0314529948,45.6101951336,46.1949412251,11140877,0.0,1.0,-0.0247720626180044
2016-01-08 00:00:00+00:00,56.63,57.73,56.53,57.41,10427021,45.9919043877,46.8852664719,45.9106896528,46.6253793202,10427021,0.0,1.0,-0.0010583877236864
2016-01-11 00:00:00+00:00,57.82,58.12,56.78,57.0,10757313,46.9583597334,47.2020039381,46.1137264901,46.292398907,10757313,0.0,1.0,0.0210135970355354
2016-01-12 00:00:00+00:00,59.46,59.53,58.18,58.39,12375826,48.2902813861,48.3471317006,47.2507327791,47.4212837224,12375826,0.0,1.0,0.0283638879267038
2016-01-13 00:00:00+00:00,57.87,60.0,57.8001,59.8,11303603,46.9989671008,48.7288409547,46.9421980011,48.5664114849,11303603,0.0,1.0,-0.026740665993959
2016-01-14 00:00:00+00:00,58.98,59.43,56.921,57.51,11444106,47.9004506585,48.2659169656,46.2282392664,46.7065940551,11444106,0.0,1.0,0.0191809227587185
2016-01-15 00:00:00+00:00,58.0,58.39,56.75,57.07,15246127,47.1045462562,47.4212837224,46.0893620697,46.3492492214,15246127,0.0,1.0,-0.0166158019675909
2016-01-19 00:00:00+00:00,58.55,59.39,58.12,58.67,12288950,47.5512272983,48.2334310717,47.2020039381,47.6486849802,12288950,0.0,1.0,0.0094827586210153
2016-01-20 00:00:00+00:00,56.92,57.96,54.94,57.57,22786359,46.227427119,47.0720603622,44.6193753675,46.755322896,22786359,0.0,1.0,-0.0278394534592238
2016-01-21 00:00:00+00:00,59.03,59.38,57.67,57.84,20888519,47.9410580259,48.2253095982,46.836537631,46.9746026803,20888519,0.0,1.0,0.03706957132805
2016-01-22 00:00:00+00:00,59.17,59.4,57.41,57.55,32820193,48.0547586548,48.2415525452,46.6253793202,46.7390799491,32820193,0.0,1.0,0.0023716754193987
