date,adjClose,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Ret,ExcessRet
2015-12-30,49.3948017811,2015-12-30,-0.0074,-0.0018,-0.0015,0.0005,0.0016,0.0,-0.0050711598240078,-0.0050711598240078
2015-12-31,48.7532053752,2015-12-31,-0.0092,-0.0021,0.0023,-0.0012,0.0008,0.0,-0.0129891483064013,-0.0129891483064013
2016-01-04,47.315704567,2016-01-04,-0.0159,-0.0077,0.0052,0.0034999999999999,0.0042,0.0,-0.0294852573720462,-0.0294852573720462
2016-01-05,47.6324420332,2016-01-05,0.0013,-0.0022,0.0,0.0008,0.0028,0.0,0.0066941297630154,0.0066941297630154
2016-01-06,47.2101254116,2016-01-06,-0.0134,-0.0023,0.0001,0.0013,0.0002,0.0,-0.0088661551575633,-0.0088661551575633
2016-01-07,46.0406332287,2016-01-07,-0.0243999999999999,-0.0028,0.0008,0.005,0.0039,0.0,-0.0247720626180044,-0.0247720626180044
2016-01-08,45.9919043877,2016-01-08,-0.0111,-0.0052,-0.0003,0.0024,0.0006,0.0,-0.0010583877236864,-0.0010583877236864
2016-01-11,46.9583597334,2016-01-11,-0.0006,-0.0062,0.004,0.0064,0.0044,0.0,0.0210135970355354,0.0210135970355354
2016-01-12,48.2902813861,2016-01-12,0.0072,-0.0049,-0.0078,-0.001,-0.0034,0.0,0.0283638879267038,0.0283638879267038
2016-01-13,46.9989671008,2016-01-13,-0.0266,-0.0059,0.008,0.0040999999999999,0.0073,0.0,-0.026740665993959,-0.026740665993959
2016-01-14,47.9004506585,2016-01-14,0.0165,-0.0004,-0.0040999999999999,-0.0059,-0.0045,0.0,0.0191809227587185,0.0191809227587185
2016-01-15,47.1045462562,2016-01-15,-0.0213,0.0040999999999999,-0.0022,0.0036,0.0034999999999999,0.0,-0.0166158019675909,-0.0166158019675909
2016-01-19,47.5512272983,2016-01-19,-0.0019,-0.0137,-0.0007,0.0034999999999999,0.0026,0.0,0.0094827586210153,0.0094827586210153
2016-01-20,46.227427119,2016-01-20,-0.0093999999999999,0.017,-0.0126,0.0008,-0.0056999999999999,0.0,-0.0278394534592238,-0.0278394534592238
2016-01-21,47.9410580259,2016-01-21,0.0045,-0.0048,-0.0001,0.0049,0.0064,0.0,0.03706957132805,0.03706957132805
2016-01-22,48.0547586548,2016-01-22,0.0208,0.0012,-0.0019,-0.0048,-0.0073,0.0,0.0023716754193987,0.0023716754193987
2016-01-25,46.8690235249,2016-01-25,-0.017,-0.0053,-0.0098,0.0034999999999999,-0.0004,0.0,-0.0246746662160493,-0.0246746662160493
2016-01-26,47.5999561393,2016-01-26,0.0152,0.0062,0.0118,0.0064,0.0070999999999999,0.0,0.0155952174683493,0.0155952174683493
2016-01-27,46.804051737,2016-01-27,-0.0111,-0.004,0.017,-0.0019,0.0109,0.0,-0.0167206961277611,-0.0167206961277611
2016-01-28,48.1481556,2016-01-28,0.0049,-0.0056,0.0126,-0.0029,-0.0048,0.0,0.0287176817629539,0.0287176817629539
2016-01-29,49.3541944136,2016-01-29,0.0256999999999999,0.0060999999999999,0.0042,0.0,0.0049,0.0,0.0250484945595714,0.0250484945595714
2016-02-01,49.8658472436,2016-02-01,-0.0004,-0.0031,-0.01,0.0008,-0.0040999999999999,0.0,0.0103669573797968,0.0103669573797968
2016-02-02,49.4557128323,2016-02-02,-0.02,-0.0015,-0.0036,0.0028,0.0034999999999999,0.0,-0.0082247556989546,-0.0082247556989546
